Name,Username,GroupName,Position
Aaron Judge,AJudge,Players,Right Fielder
Paul Goldschmidt,PGoldschmidt,Players,First Baseman
Giancarlo Stanton,GStanton,Players,Designated Hitter
Jazz Chisholm Jr.,JChisholmJR,Players,Second Baseman
Austin Wells,AWells,Players,Catcher
Cody Bellinger,CBellinger,Players,Outfielder
Ben Rice,BRice,Players,First Baseman
Amed Rosario,ARosario,Players,Third Baseman
Trent Grisham,TGrisham,Players,Center Fielder
J.C. Escarra,JEscarra,Players,Catcher
Jasson Domínguez,JDominguez,Players,Left Fielder
Randal Grichuk,RGrichuk,Players,Outfielder
Jose Caballero,JCaballero,Players,Shortstop
Ryan McMahon,RMcmahon,Players,Third Baseman
Max Fried,MFried,Players,Pitcher
David Bednar,DBednar,Players,Pitcher
Camilo Doval,CDoval,Players,Pitcher
Will Warren,WWarren,Players,Pitcher
Cam Schlittler,CSchlittler,Players,Pitcher
Ryan Weathers,RWeathers,Players,Pitcher
Paul Blackburn,PBlackburn,Players,Pitcher
Fernando Cruz,FCruz,Players,Pitcher
Jake Bird,JBird,Players,Pitcher
Tim Hill,THill,Players,Pitcher
Ryan Yarbrough,RYarbrough,Players,Pitcher
Brent Headrick,BHeadrick,Players,Pitcher
